Year,Gender,Age,Scenario,Abdominal_obesity,No_abdominal_obesity
2011,Men,35,Baseline,0.249215335,0.750784665
2011,Men,36,Baseline,0.265904909,0.734095091
2011,Men,37,Baseline,0.281554702,0.718445298
2011,Men,38,Baseline,0.296168386,0.703831614
2011,Men,39,Baseline,0.309750193,0.690249807
2011,Men,40,Baseline,0.322305031,0.677694969
2011,Men,41,Baseline,0.333838635,0.666161365
2011,Men,42,Baseline,0.34435775,0.65564225
2011,Men,43,Baseline,0.353870374,0.646129626
2011,Men,44,Baseline,0.362386075,0.637613925
2011,Men,45,Baseline,0.369916412,0.630083588
2011,Men,46,Baseline,0.376475489,0.623524511
2011,Men,47,Baseline,0.382080715,0.617919285
2011,Men,48,Baseline,0.386755358,0.613244642
2011,Men,49,Baseline,0.390533735,0.609466265
2011,Men,50,Baseline,0.393456179,0.606543821
2011,Men,51,Baseline,0.39556762,0.60443238
2011,Men,52,Baseline,0.396917782,0.603082218
2011,Men,53,Baseline,0.397556179,0.602443821
2011,Men,54,Baseline,0.397508952,0.602491048
2011,Men,55,Baseline,0.396770758,0.603229242
2011,Men,56,Baseline,0.395278222,0.604721778
2011,Men,57,Baseline,0.39281709,0.60718291
2011,Men,58,Baseline,0.388658802,0.611341198
2011,Men,59,Baseline,0.381417751,0.618582249
2011,Men,60,Baseline,0.378459897,0.621540103
2011,Men,61,Baseline,0.380836192,0.619163808
2011,Men,62,Baseline,0.3799315,0.6200685
2011,Men,63,Baseline,0.377217925,0.622782075
2011,Men,64,Baseline,0.37583636,0.62416364
2011,Men,65,Baseline,0.370943621,0.629056379
2011,Men,66,Baseline,0.357493662,0.642506338
2011,Men,67,Baseline,0.349805403,0.650194597
2011,Men,68,Baseline,0.345724805,0.654275195
2011,Men,69,Baseline,0.339677189,0.660322811
2011,Men,70,Baseline,0.33795328,0.66204672
2011,Men,71,Baseline,0.347230111,0.652769889
2011,Men,72,Baseline,0.350650527,0.649349473
2011,Men,73,Baseline,0.350240152,0.649759848
2011,Men,74,Baseline,0.347913565,0.652086435
2011,Men,75,Baseline,0.344456649,0.655543351
2011,Men,76,Baseline,0.340223156,0.659776844
2011,Men,77,Baseline,0.335355305,0.664644695
2011,Men,78,Baseline,0.329849696,0.670150304
2011,Men,79,Baseline,0.323575813,0.676424187
2011,Men,80,Baseline,0.316377669,0.683622331
2011,Men,81,Baseline,0.30810058,0.69189942
2011,Men,82,Baseline,0.298594579,0.701405421
2011,Men,83,Baseline,0.287723216,0.712276784
2011,Men,84,Baseline,0.275386586,0.724613414
2011,Men,85,Baseline,0.261505147,0.738494853
2011,Men,86,Baseline,0.246011405,0.753988595
2011,Men,87,Baseline,0.228847768,0.771152232
2011,Men,88,Baseline,0.20996482,0.79003518
2011,Men,89,Baseline,0.189319919,0.810680081
2011,Men,90,Baseline,0.166876084,0.833123916
2011,Men,91,Baseline,0.142601078,0.857398922
2011,Men,92,Baseline,0.116466671,0.883533329
2011,Men,93,Baseline,0.088448033,0.911551967
2011,Men,94,Baseline,0.058523233,0.941476767
2011,Men,95,Baseline,0.02667283,0.97332717
2011,Men,96,Baseline,0.02667283,0.97332717
2011,Men,97,Baseline,0.02667283,0.97332717
2011,Men,98,Baseline,0.02667283,0.97332717
2011,Men,99,Baseline,0.02667283,0.97332717
2011,Men,100,Baseline,0.02667283,0.97332717
2011,Women,35,Baseline,0.443190013,0.556809987
2011,Women,36,Baseline,0.449929784,0.550070216
2011,Women,37,Baseline,0.456575184,0.543424816
2011,Women,38,Baseline,0.463125097,0.536874903
2011,Women,39,Baseline,0.46957822,0.53042178
2011,Women,40,Baseline,0.475933031,0.524066969
2011,Women,41,Baseline,0.482187729,0.517812271
2011,Women,42,Baseline,0.488340176,0.511659824
2011,Women,43,Baseline,0.494387803,0.505612197
2011,Women,44,Baseline,0.500327494,0.499672506
2011,Women,45,Baseline,0.506155435,0.493844565
2011,Women,46,Baseline,0.511866898,0.488133102
2011,Women,47,Baseline,0.517455953,0.482544047
2011,Women,48,Baseline,0.522914504,0.477085496
2011,Women,49,Baseline,0.528230338,0.471769662
2011,Women,50,Baseline,0.533388831,0.466611169
2011,Women,51,Baseline,0.538373375,0.461626625
2011,Women,52,Baseline,0.543165199,0.456834801
2011,Women,53,Baseline,0.547744976,0.452255024
2011,Women,54,Baseline,0.552100819,0.447899181
2011,Women,55,Baseline,0.556231526,0.443768474
2011,Women,56,Baseline,0.560157043,0.439842957
2011,Women,57,Baseline,0.563955328,0.436044672
2011,Women,58,Baseline,0.567910929,0.432089071
2011,Women,59,Baseline,0.572606478,0.427393522
2011,Women,60,Baseline,0.574280288,0.425719712
2011,Women,61,Baseline,0.570136652,0.429863348
2011,Women,62,Baseline,0.570153303,0.429846697
2011,Women,63,Baseline,0.571860955,0.428139045
2011,Women,64,Baseline,0.571296947,0.428703053
2011,Women,65,Baseline,0.5764138,0.4235862
2011,Women,66,Baseline,0.59339772,0.40660228
2011,Women,67,Baseline,0.602075044,0.397924956
2011,Women,68,Baseline,0.60625503,0.39374497
2011,Women,69,Baseline,0.613811673,0.386188327
2011,Women,70,Baseline,0.61534636,0.38465364
